id,created_at,text,length,source,favorites,RT
986952562770247680,2018-04-19 13:00:02,"b""With @SAfridiOfficial and @realshoaibmalik announced to be part of the ICC World XI at Lord's next month, throwback\xe2\x80\xa6 https://t.co/VQRRBUJCbe""",140,Media Studio,4996,1060
986938767679348736,2018-04-19 12:05:13,"b'\xe2\x80\x9cThat the match is being played at Lord\xe2\x80\x99s makes this event extra special for me.""\n\n@realshoaibmalik is returning to\xe2\x80\xa6 https://t.co/HkKviO4iKc'",140,TweetDeck,1348,147
986921097411969024,2018-04-19 10:55:00,"b'#OnThisDay in 2009, Afghanistan won their first ever ODI, beating Scotland in a 5th place play-off at the\xe2\x80\xa6 https://t.co/v0nVX0YPZP'",130,TweetDeck,1260,103
986907759739256832,2018-04-19 10:02:00,"b'""Any guy with half a cricket eye would have known that he was going to be a great player.""\n\n@Gary_Kirsten, who is w\xe2\x80\xa6 https://t.co/Mh2P6KQBTy'",140,TweetDeck,1360,108
986900349968617472,2018-04-19 09:32:33,"b'\xe2\x80\x9cI am humbled to have been selected for such a noble cause""\n\n@SAfridiOfficial is joining the ICC World XI to face W\xe2\x80\xa6 https://t.co/StkaQPeuEJ'",140,TweetDeck,3972,654
986892287274823681,2018-04-19 09:00:31,"b'BREAKING: @SAfridiOfficial, @realshoaibmalik and @PereraThisara join @Eoin16 in the ICC World XI to face West Indie\xe2\x80\xa6 https://t.co/F53UgGoEWa'",140,TweetDeck,2975,452
986877470686167040,2018-04-19 08:01:38,"b'""Steve (Smith) was keen for the team to start playing a different style"" - Tim Paine.\n\nRead more from the \xf0\x9f\x87\xa6\xf0\x9f\x87\xba Austra\xe2\x80\xa6 https://t.co/0FKhMP1Vli'",140,Twitter Web Client,995,36
986861961466994688,2018-04-19 07:00:01,"b'With 189 wickets in 27 Tests at an average of just 16.43, he is regarded as one of the finest bowlers of all time.\xe2\x80\xa6 https://t.co/eNxPhWGWvX'",139,TweetDeck,500,50
986848095961997312,2018-04-19 06:04:55,"b""The superstar umpire was born #OnThisDay in 1933. \n\nHarold 'Dickie' Bird had a middling career as a cricketer with\xe2\x80\xa6 https://t.co/dYtX6eJXTv""",139,Twitter Web Client,850,71
986845817565732864,2018-04-19 05:55:52,"b'The first player to cross the 10,000-run mark in the Plunket Shield, former @BLACKCAPS Test and ODI opener Michael\xe2\x80\xa6 https://t.co/5E8u5fZB7A'",139,Twitter Web Client,449,27
986831758934138880,2018-04-19 05:00:00,"b'Bangladesh have reduced the number of players to receive central contracts, with only 10 players making the cut for\xe2\x80\xa6 https://t.co/CWorzdJ1Dq'",140,TweetDeck,552,29
986813148727468033,2018-04-19 03:46:03,"b'After taking 210 international wickets for Australia and winning the @cricketworldcup in 1999, he has since become\xe2\x80\xa6 https://t.co/YksAfwyTEY'",139,Twitter Web Client,1067,56
986801559798415360,2018-04-19 03:00:00,"b'ICYMI, the PCB are planning a refurbishment of the Pindi Cricket Stadium with the aim of international and PSL matc\xe2\x80\xa6 https://t.co/tnEPDcuNAT'",140,TweetDeck,641,68
986771365993705472,2018-04-19 01:00:01,"b'A fast bowler who took 402 international wickets for Australia, he famously hit 201* in his final Test against Bang\xe2\x80\xa6 https://t.co/HqjEKWqCCC'",140,TweetDeck,1764,142
986696619566489601,2018-04-18 20:03:00,b'The @BCBtigers have announced their list of 10 centrally contracted players for 2018. Reduced from 16 last year\n\nRe\xe2\x80\xa6 https://t.co/liWQLkBVa9',140,TweetDeck,344,26
986691293656035328,2018-04-18 19:41:50,b'RT @KNCBcricket: BREAKING:\nKNCB has announced that the captain of the Dutch cricket team Peter Borren will retire from international cricke\xe2\x80\xa6',140,Twitter for Android,0,106
986691083143966722,2018-04-18 19:41:00,b'Long-standing captain of @KNCBcricket Peter Borren is retiring from international cricket \n\nFull story \xe2\x9e\xa1\xef\xb8\x8f\xe2\x80\xa6 https://t.co/tPuHlBSgSS',130,TweetDeck,382,22
